mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,variance,stddv_h,stddv_s,stddv_v,kurtosis,skewness,Chl Value
157.5303353,163.9138448,147.5940638,61.65716425,50.2349191,77.21265104,4140.739265,57.45640328,89.11914006,50.95875068,-0.205137258,-1.095690305,38.6
203.6161447,206.9019252,199.2337493,48.93133886,37.91784217,60.83164974,2520.709725,57.39998789,62.94250809,38.16224181,6.570462423,-2.787180079,46.3
191.6094323,193.8320455,187.0854228,50.33202866,40.76509876,60.9963068,2646.432342,56.72623509,66.41929733,41.30955541,4.89396922,-2.40723364,45.5
202.2977773,205.3131225,197.4771411,47.3752393,37.13489864,59.32790713,2391.486347,58.38213202,58.21805592,37.26476946,5.741681564,-2.611563542,50.2
181.5822881,184.8672522,177.3656281,48.94445923,40.94892705,58.74993977,2517.403999,47.2680953,68.09626354,41.10780588,5.201463102,-2.487691507,45.4
198.0258536,202.3028278,193.5028916,49.99406643,38.81086768,62.41978454,2646.883051,47.70660599,65.72547555,38.97727522,5.307517286,-2.506569609,45.8
175.0924108,179.2982923,165.8602735,46.66046188,36.89743203,64.71922351,2607.2326,50.79786624,78.13427479,37.16352651,3.084471853,-1.986183738,31.5
190.9480657,195.5797264,181.4518105,45.7779407,34.72715861,66.61654332,2614.367431,49.44282117,74.19089065,34.87370784,4.247970846,-2.287892366,33.7
174.3853887,178.6348575,164.8650053,45.73387926,35.98302553,64.75086163,2559.491586,49.67494662,79.61126358,36.22006641,3.326051976,-2.027840527,32.1
192.6066232,197.5129826,182.8518277,42.86921143,31.71752999,63.77888249,2340.969823,49.68915538,70.30537282,31.93380665,4.884487428,-2.397701148,30.3
14.77215094,20.90692282,4.435753877,39.93159901,52.7177515,25.70902623,1724.41331,29.41932646,81.04226328,44.57041087,12.67765045,3.508731224,31
178.3464071,185.2724325,169.5605062,63.44658485,51.27173893,79.45769475,4363.931478,44.36154402,84.54544097,51.5210817,0.783320702,-1.544606259,37.5
176.6576657,184.2642696,166.2173727,64.60144451,50.70810174,82.80215015,4588.345942,47.81209396,94.65434748,51.02520306,0.787224351,-1.52465623,37.4
16.94108836,23.78587162,8.99537037,41.26124081,50.79405166,32.94595764,1825.847759,32.92038233,81.49838892,65.51899753,12.10357624,3.325595794,37.7
167.3734799,173.842303,158.7511139,62.17692241,49.94734793,76.3858485,4103.38335,53.31818494,86.61410609,50.34568507,0.443609929,-1.38633471,37.8
178.0837204,184.7852643,168.814097,63.65675161,51.3827719,79.74443494,4393.394814,47.36025058,85.49086723,51.65277599,0.69380407,-1.506515179,40
205.0273066,210.7258505,197.4014893,51.27134097,37.95847532,68.72406412,2960.660536,43.29496528,66.49393159,38.08681897,3.812643998,-2.282561114,35.2
179.6902405,185.0782691,172.8243965,55.53951551,43.59455038,69.75774071,3308.902561,50.28816032,81.95826669,43.8645628,2.718379928,-2.007920197,37.2
11.60536813,16.73317955,5.494557382,35.93649649,44.49427327,28.48223213,1381.908014,28.8698348,79.67953544,58.0687132,19.07681258,4.170956622,37.2
197.9357382,203.9948416,189.6920665,54.62470478,40.13153801,72.31912129,3309.178032,53.79606477,76.4311266,40.38856856,3.621749957,-2.239299177,38
198.2483176,203.668123,190.8170597,53.02402221,40.57929729,69.14401618,3107.456837,47.52424999,69.50510232,40.73412784,3.492636561,-2.219825267,37.9
159.0130046,165.5260479,149.583222,51.85418063,41.01255188,68.35208612,3057.132627,57.65675035,78.68690586,41.66501807,0.394980696,-1.230982076,36
17.3550157,23.31264017,8.438329008,41.19810071,49.72845279,31.29394938,1753.865231,33.05182792,86.06239158,65.19155777,10.58200638,3.11603699,34.2
177.0212156,183.292407,166.7330593,57.15419987,44.93335123,76.42494512,3755.392061,55.43127002,83.12950629,45.43835971,1.055713595,-1.601187535,35.4
177.0202965,183.1424862,165.7001756,54.74753517,43.54274491,75.43134182,3579.923584,50.02695355,85.65240331,43.86468063,1.606675264,-1.725087259,35
177.2042943,183.4803708,164.9493305,53.02526938,42.34152529,74.7881606,3458.470166,48.61062339,85.79976343,42.64298051,1.795225103,-1.754726567,35.8
191.9789654,196.9741604,185.8050141,58.08085326,47.08535675,70.15343668,3524.842503,51.60843354,61.00314493,47.31266056,1.363290844,-1.727454449,60
